lender,finance_channel,customer_segment,offer_comp_tier,month_begin_date,num_tot_apps,num_tot_bks,pct_of_total_apps,vsa_prog_pct,str_apprv_rate,cond_apprv_rate,str_bk_rate,cond_bk_rate,num_seg_apps,num_seg_vsa,num_seg_str_approvals,num_seg_cond_approvals,num_seg_str_bookings,num_seg_cond_bookings,num_seg_bookings
CAF1,FF,Super_Prime,solo_offer,2023-01-01,15000,3503.843327681403,0.0709986902920045,0.7986291734921166,0.5660253203252866,0.32561375812957505,0.8925378663429991,0.5758123777736022,1064.9803543800674,850.5243802038947,481.41833474937533,276.9424398190177,429.6840933156072,159.4668847786113,589.1509780942185
CAF1,FF,Super_Prime,multi_best,2023-01-01,15000,3503.843327681403,0.044327172211102564,0.8434893496013806,0.5748917822253199,0.24309910070987997,0.757006541901492,0.515333990107808,664.9075831665384,560.8424648701694,322.423724176853,136.34029884985063,244.07686846611995,70.2607902187845,314.33765868490445
CAF1,FF,Super_Prime,multi_other,2023-01-01,15000,3503.843327681403,0.04099977821500835,0.8689755241044583,0.6146271809468482,0.19246814102740237,0.6878404871795252,0.47665364801883653,614.9966732251253,534.4170564383015,328.46724884858594,102.85825738601626,225.93307247052968,49.02776361190509,274.96083608243475
CAF1,FF,Prime,solo_offer,2023-01-01,15000,3503.843327681403,0.04100033316932729,0.8337499388018493,0.40724741271011916,0.3154401563630583,0.6499675023142071,0.47770770274556323,615.0049975399094,512.760379061731,208.8203377131499,161.74521414801345,135.72643333582528,77.26693468073668,212.99336801656196
CAF1,FF,Prime,multi_best,2023-01-01,15000,3503.843327681403,0.1379147244603497,0.7910941831751586,0.45765479798764735,0.258047556778437,0.6313779324701667,0.43028410587186433,2068.720866905245,1636.553044421811,748.9763529409331,422.3085146513612,472.8871411888922,181.71264162883605,654.5997828177283
CAF1,FF,Prime,multi_other,2023-01-01,15000,3503.843327681403,0.0850290931658592,0.8034156866526599,0.39863492949982543,0.22788984087176758,0.5054878461266147,0.4197468506499396,1275.436397487888,1024.7056090695264,408.48344822950634,233.51999819126206,206.48341842390568,98.01928380456184,304.5027022284675
CAF1,FF,Near_Prime,solo_offer,2023-01-01,15000,3503.843327681403,0.033548793995376455,0.7704183576972492,0.26674410955786926,0.3252940663154365,0.6431708328430351,0.4582034462585904,503.23190993064685,387.699101589619,103.4164516299088,126.11621726292867,66.51444532447991,57.78688537897105,124.30133070345096
CAF1,FF,Near_Prime,multi_best,2023-01-01,15000,3503.843327681403,0.073256925559873,0.767175537603074,0.2893323112452403,0.3432201303570732,0.53443123013987,0.3692695247620104,1098.853883398095,843.013818743159,243.91113658863426,289.33931276184114,130.35372877187768,106.84419051853178,237.19791929040946
CAF1,FF,Near_Prime,multi_other,2023-01-01,15000,3503.843327681403,0.05929096490324148,0.7772327569406696,0.26730141265752333,0.28601478503985295,0.42669270575174323,0.32714679787666506,889.3644735486223,691.2432017012829,184.77028430466225,197.70577574485216,78.8401325524752,64.67881145665042,143.51894400912562
CAF1,FF,Subprime,solo_offer,2023-01-01,15000,3503.843327681403,0.006404232023379357,0.6877628325418722,0.20311756134087178,0.29108022251207527,0.5333340615150565,0.38286054923747015,96.06348035069036,66.06889134982129,13.419752091470718,19.231347595232105,7.157210887469252,7.362924302887264,14.520135190356516
